Time,Sequence Number,Event
101.1128,120000,ack
102.1128,121000,send
103.1128,121000,send
104.1128,121000,send
104.1128,121000,transmit
105.1128,121000,send
106.1128,121000,send
107.1128,121000,send
108.1128,121000,send
108.1128,121000,transmit
109.1128,121000,send
109.1128,121000,transmit
109.1336,121000,ack
109.1336,122000,send
109.1336,123000,send
109.1336,124000,send
109.1336,125000,send
109.1336,126000,send
109.1336,127000,send
109.1336,128000,send
109.1336,129000,send
109.1336,130000,send
109.1336,131000,send
109.1336,123000,transmit
109.1344,124000,transmit
109.1352,125000,transmit
109.136,126000,transmit
109.1368,130000,transmit
109.1376,131000,transmit
109.1544,121000,ack
109.1568,121000,ack
109.1584,121000,ack
110.1584,122000,send
110.1584,122000,transmit
110.1792,127000,ack
110.1792,128000,send
110.1792,129000,send
110.1792,130000,send
110.1792,131000,send
110.1792,132000,send
110.1792,133000,send
110.1792,134000,send
110.1792,135000,send
110.1792,136000,send
110.1792,137000,send
110.1792,128000,transmit
110.18,129000,transmit
110.1808,130000,transmit
110.1816,132000,transmit
110.1824,133000,transmit
110.1832,135000,transmit
110.184,136000,transmit
110.2008,131000,ack
110.2008,138000,send
110.2008,139000,send
110.2008,140000,send
110.2008,141000,send
110.2008,139000,transmit
110.2016,140000,transmit
110.2024,141000,transmit
110.204,133000,ack
110.204,142000,send
110.204,143000,send
110.204,142000,transmit
110.2216,133000,ack
111.2216,134000,send
111.2216,134000,transmit
111.2424,136000,ack
111.2424,137000,send
111.2424,138000,send
111.2424,139000,send
111.2424,140000,send
111.2424,141000,send
111.2424,142000,send
111.2424,143000,send
111.2424,144000,send
111.2424,145000,send
111.2424,146000,send
111.2424,140000,transmit
111.2432,141000,transmit
111.244,142000,transmit
111.2448,143000,transmit
111.2456,144000,transmit
111.2464,145000,transmit
111.2472,146000,transmit
111.264,136000,ack
111.2656,136000,ack
111.2664,136000,ack
111.2672,136000,ack
111.268,136000,ack
112.268,137000,send
113.268,137000,send
113.268,137000,transmit
114.268,137000,send
114.268,137000,transmit
114.2888,137000,ack
114.2888,138000,send
114.2888,139000,send
114.2888,140000,send
114.2888,141000,send
114.2888,142000,send
114.2888,143000,send
114.2888,144000,send
114.2888,145000,send
114.2888,146000,send
114.2888,147000,send
114.2888,138000,transmit
114.2896,139000,transmit
114.2904,140000,transmit
114.2912,141000,transmit
114.292,143000,transmit
114.2928,144000,transmit
114.2936,146000,transmit
114.2944,147000,transmit
114.3104,146000,ack
114.3104,148000,send
114.3104,149000,send
114.3104,150000,send
114.3104,151000,send
114.3104,152000,send
114.3104,153000,send
114.3104,154000,send
114.3104,155000,send
114.3104,156000,send
114.3104,148000,transmit
114.3112,152000,transmit
114.312,146000,ack
114.312,153000,transmit
114.3152,147000,ack
114.3152,157000,send
114.3152,157000,transmit
114.3312,148000,ack
114.3312,158000,send
114.332,148000,ack
115.332,149000,send
116.332,149000,send
116.332,149000,transmit
116.3528,149000,ack
116.3528,150000,send
116.3528,151000,send
116.3528,152000,send
116.3528,153000,send
116.3528,154000,send
116.3528,155000,send
116.3528,156000,send
116.3528,157000,send
116.3528,158000,send
116.3528,159000,send
116.3528,153000,transmit
116.3536,156000,transmit
116.3736,149000,ack
117.3736,150000,send
118.3736,150000,send
118.3736,150000,transmit
118.3944,150000,ack
118.3944,151000,send
118.3944,152000,send
118.3944,153000,send
118.3944,154000,send
118.3944,155000,send
118.3944,156000,send
118.3944,157000,send
118.3944,158000,send
118.3944,159000,send
118.3944,160000,send
118.3944,153000,transmit
118.3952,155000,transmit
118.396,158000,transmit
119.3944,151000,send
119.3944,151000,transmit
120.3944,151000,send
121.3944,151000,send
122.3944,151000,send
123.3944,151000,send
123.3944,151000,transmit
123.4152,153000,ack
123.4152,154000,send
123.4152,155000,send
123.4152,156000,send
123.4152,157000,send
123.4152,158000,send
123.4152,159000,send
123.4152,160000,send
123.4152,161000,send
123.4152,162000,send
123.4152,163000,send
123.4152,156000,transmit
123.416,157000,transmit
123.4168,158000,transmit
123.4176,159000,transmit
123.4184,160000,transmit
123.4192,163000,transmit
123.4384,153000,ack
123.4392,153000,ack
123.44,153000,ack
124.44,154000,send
125.44,154000,send
126.44,154000,send
127.44,154000,send
127.44,154000,transmit
127.4608,160000,ack
127.4608,161000,send
127.4608,162000,send
127.4608,163000,send
127.4608,164000,send
127.4608,165000,send
